Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",4.420000,-3.500000,90.000000,top
"C2","100n","C_0402_1005Metric",6.920000,-9.500000,180.000000,top
"C3","100n","C_0402_1005Metric",11.120000,-4.480000,90.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",5.120000,-9.500000,0.000000,top
"IC1","TROPIC01_chip","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm",7.620000,-6.000000,0.000000,top
"J1","Edge conn 4x 2.54","castellated_4x2.54",15.240000,-2.190000,0.000000,top
"J2","Edge conn 4x 2.54","castellated_4x2.54",0.000000,-9.810000,180.000000,top
"R1","47k","R_0402_1005Metric",9.720000,-9.500000,0.000000,top
